region,area_fraction,regional_baseline_aod,regional_2025_aod,regional_anomaly,global_anomaly_contribution
East China,0.036740340628888445,0.4809289819785257,0.28084368189194625,-0.19961635216189888,-0.007344068625452045
India,0.033608983770222735,0.41602349608695444,0.45592384624715704,0.039702306083064375,0.0013375123986385299
North Africa/Sahel,0.12169033939048239,0.414261923368529,0.34566527133090097,-0.0685929224456137,-0.008368437639007024
Middle East,0.04254745317065356,0.3712106944369269,0.3460158392939181,-0.024462501231642803,-0.0010404661950507875
Tropical S. America,0.0736478394842853,0.3433207557879824,0.20064552988298728,-0.14290738149683796,-0.010537621252816582
Europe,0.053463885342009,0.23686163383955233,0.17906381009336217,-0.0579639465727843,-0.003101028156546596
CONUS,0.07164197270552601,0.1688331573191064,0.14703356086976666,-0.02183437506289015,-0.0015668444891494954
Other land DB domain,0.5666591855079326,0.25820607290726544,0.21828579668876666,-0.03948662197494219,-0.02234898768931893
