m3_field,reference_2008_2017,aod_2025,anomaly_2025,rank_from_lowest_2003_2025
dt_land_ocean_aod550,0.1698128163883142,0.1559726532720903,-0.01384016311622388,1
dt_land_qa_aod550,0.22810950698549481,0.20090223116917225,-0.027207275816322568,1
db_land_aod550,0.2167379314886282,0.18277719724611366,-0.03396073424251453,1
dt_db_combined_aod550,0.17483376247924848,0.1588812754583697,-0.015952487020878786,1
