year,annual_total_aod,annual_total_aod_reference_2008_2017,annual_total_aod_anomaly,annual_dust_aod_two_stage_qa2,annual_dust_aod_two_stage_qa2_reference_2008_2017,annual_dust_aod_two_stage_qa2_anomaly,annual_dust_aod_li_ginoux,annual_dust_aod_li_ginoux_reference_2008_2017,annual_dust_aod_li_ginoux_anomaly
2003.0,0.29482773678302665,0.2930761812351654,0.001751555547861272,0.052801938762391525,0.058602433393784306,-0.005800494631392782,0.05852087007645734,0.06474295991982255,-0.006222089843365211
2004.0,0.28743605141659784,0.2930761812351654,-0.005640129818567541,0.05028916269786975,0.058602433393784306,-0.008313270695914553,0.05687104128685802,0.06474295991982255,-0.007871918632964534
2005.0,0.28969294027804376,0.2930761812351654,-0.0033832409571216138,0.05356124726773808,0.058602433393784306,-0.005041186126046225,0.05935104429342341,0.06474295991982255,-0.005391915626399145
2006.0,0.29399888265704527,0.2930761812351654,0.0009227014218798901,0.055049481918744085,0.058602433393784306,-0.003552951475040221,0.06122470852409695,0.06474295991982255,-0.003518251395725605
2007.0,0.29465252562412997,0.2930761812351654,0.00157634438896459,0.054124952025111035,0.058602433393784306,-0.004477481368673271,0.060848998493787505,0.06474295991982255,-0.003893961426035049
2008.0,0.299282273167263,0.2930761812351654,0.006206091932097646,0.059298056885257654,0.058602433393784306,0.0006956234914733475,0.06559436644201005,0.06474295991982255,0.0008514065221875006
2009.0,0.29457686651506637,0.2930761812351654,0.0015006852799009929,0.057294380492824065,0.058602433393784306,-0.001308052900960241,0.06288118162079863,0.06474295991982255,-0.0018617782990239251
2010.0,0.2922216455282457,0.2930761812351654,-0.0008545357069196791,0.058072045773286146,0.058602433393784306,-0.00053038762049816,0.06276294040291143,0.06474295991982255,-0.0019800195169111245
2011.0,0.3008497577417332,0.2930761812351654,0.0077735765065678475,0.05620965632359304,0.058602433393784306,-0.002392777070191268,0.06158717023603542,0.06474295991982255,-0.003155789683787137
2012.0,0.3007305319351052,0.2930761812351654,0.007654350699939805,0.05723368550976549,0.058602433393784306,-0.001368747884018813,0.06271724175267392,0.06474295991982255,-0.002025718167148638
2013.0,0.2843322996038084,0.2930761812351654,-0.008743881631356976,0.053791611609550795,0.058602433393784306,-0.004810821784233511,0.05948675834127622,0.06474295991982255,-0.005256201578546331
2014.0,0.2899460416722335,0.2930761812351654,-0.0031301395629318995,0.05431975714296052,0.058602433393784306,-0.0042826762508237845,0.06055187329165728,0.06474295991982255,-0.004191086628165273
2015.0,0.30246085085342295,0.2930761812351654,0.009384669618257568,0.06555096369145196,0.058602433393784306,0.006948530297667649,0.07254968232315186,0.06474295991982255,0.0078067224033293026
2016.0,0.28365980241901584,0.2930761812351654,-0.00941637881614954,0.05963415035238121,0.058602433393784306,0.0010317169585969052,0.06716146888002854,0.06474295991982255,0.002418508960205984
2017.0,0.28270174291575995,0.2930761812351654,-0.010374438319405432,0.06462002615677223,0.058602433393784306,0.006017592762987925,0.07213691590768229,0.06474295991982255,0.007393955987859732
2018.0,0.28326838672050786,0.2930761812351654,-0.00980779451465752,0.06232721547485772,0.058602433393784306,0.0037247820810734147,0.06884493893066232,0.06474295991982255,0.004101979010839765
2019.0,0.28669002602648025,0.2930761812351654,-0.006386155208685129,0.05636775473201238,0.058602433393784306,-0.002234678661771926,0.06365459946073926,0.06474295991982255,-0.0010883604590832957
2020.0,0.2812608889446564,0.2930761812351654,-0.011815292290508983,0.05860751173282359,0.058602433393784306,5.078339039281399e-06,0.06738894922399714,0.06474295991982255,0.0026459893041745897
2021.0,0.2871340316727456,0.2930761812351654,-0.005942149562419785,0.06403489996578196,0.058602433393784306,0.0054324665719976545,0.07931849216281,0.06474295991982255,0.014575532242987452
2022.0,0.30840116058242967,0.2930761812351654,0.01532497934726429,0.06874125314618203,0.058602433393784306,0.01013881975239772,0.09951630302334806,0.06474295991982255,0.034773343103525506
2023.0,0.2905391138627303,0.2930761812351654,-0.0025370673724350867,0.05868047740402566,0.058602433393784306,7.804401024135571e-05,0.07716481751403288,0.06474295991982255,0.012421857594210328
2024.0,0.27327593838353975,0.2930761812351654,-0.019800242851625627,0.06099502126681631,0.058602433393784306,0.0023925878730320024,0.06759621109822819,0.06474295991982255,0.0028532511784056386
2025.0,0.23827187774591896,0.2930761812351654,-0.05480430348924642,0.05203642411669048,0.058602433393784306,-0.006566009277093825,0.05829070349318877,0.06474295991982255,-0.006452256426633787
